Programming Languages,Databases,ML,cloud computing,Devops,CI/CD pipelines cybersecurity,web,frameworks,soft skils
python,postgresql,ml,aws,docker,penetration testing,html,,leadership
c,mongodb,dl,google cloud,kubernets,encryption,css,,teamwork
c++,mysql,machine learning,azure,,firewalls,js,,communication
java,sql,deep learning,,,,react,,
javascript,sqlite,tensorflow,,,,django,,
fortran,nosql,pytorch,,,,flask,,
r,,scikit-learn,,,,nodejs,,
rust,,,,,,angular,,
ruby,,,,,,vuejs,,
c#,,,,,,,,
kotlin,,,,,,,,
swift,,,,,,,,
go,,,,,,,,